  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   54   0.563E-01 -0.114E+00 -0.180E-05  0.427E-03  0.103E-03
   55   0.530E-01 -0.107E+00 -0.180E-05  0.379E-03  0.912E-04
   56   0.500E-01 -0.101E+00 -0.180E-05  0.337E-03  0.811E-04
   57   0.471E-01 -0.954E-01 -0.180E-05  0.299E-03  0.721E-04
   58   0.443E-01 -0.900E-01 -0.180E-05  0.265E-03  0.641E-04
   59   0.418E-01 -0.849E-01 -0.180E-05  0.236E-03  0.569E-04
   60   0.393E-01 -0.802E-01 -0.180E-05  0.209E-03  0.506E-04
   61   0.370E-01 -0.757E-01 -0.846E-06  0.186E-03  0.449E-04
   62   0.349E-01 -0.714E-01 -0.130E-09  0.166E-03  0.398E-04
   63   0.329E-01 -0.673E-01 -0.130E-09  0.148E-03  0.353E-04
   64   0.310E-01 -0.634E-01 -0.130E-09  0.131E-03  0.314E-04
   65   0.292E-01 -0.597E-01 -0.130E-09  0.116E-03  0.279E-04
   66   0.275E-01 -0.563E-01 -0.130E-09  0.103E-03  0.247E-04
   67   0.259E-01 -0.531E-01 -0.130E-09  0.918E-04  0.220E-04
   68   0.244E-01 -0.500E-01 -0.130E-09  0.815E-04  0.195E-04
   69   0.230E-01 -0.471E-01 -0.130E-09  0.724E-04  0.173E-04
   70   0.217E-01 -0.444E-01 -0.130E-09  0.643E-04  0.154E-04
   71   0.204E-01 -0.418E-01 -0.130E-09  0.571E-04  0.137E-04
   72   0.193E-01 -0.394E-01 -0.130E-09  0.507E-04  0.121E-04
   73   0.182E-01 -0.372E-01 -0.130E-09  0.450E-04  0.108E-04
   74   0.171E-01 -0.350E-01 -0.130E-09  0.400E-04  0.957E-05
   75   0.161E-01 -0.330E-01 -0.130E-09  0.355E-04  0.850E-05
   76   0.152E-01 -0.311E-01 -0.130E-09  0.315E-04  0.755E-05
   77   0.143E-01 -0.293E-01 -0.130E-09  0.280E-04  0.670E-05
   78   0.135E-01 -0.276E-01 -0.130E-09  0.249E-04  0.595E-05
   79   0.127E-01 -0.260E-01 -0.130E-09  0.221E-04  0.529E-05
   80   0.120E-01 -0.245E-01 -0.130E-09  0.196E-04  0.470E-05
   81   0.113E-01 -0.231E-01 -0.130E-09  0.174E-04  0.417E-05
   82   0.106E-01 -0.218E-01 -0.130E-09  0.155E-04  0.370E-05
   83   0.100E-01 -0.205E-01 -0.117E-07  0.137E-04  0.332E-05
   84   0.945E-02 -0.193E-01 -0.225E-07  0.121E-04  0.298E-05
   85   0.890E-02 -0.182E-01 -0.225E-07  0.107E-04  0.265E-05
   86   0.838E-02 -0.172E-01 -0.225E-07  0.950E-05  0.235E-05
   87   0.789E-02 -0.162E-01 -0.225E-07  0.843E-05  0.208E-05
   88   0.743E-02 -0.153E-01 -0.225E-07  0.747E-05  0.185E-05
   89   0.700E-02 -0.144E-01 -0.225E-07  0.663E-05  0.164E-05
   90   0.659E-02 -0.135E-01 -0.225E-07  0.588E-05  0.146E-05
   91   0.620E-02 -0.128E-01 -0.225E-07  0.521E-05  0.129E-05
   92   0.584E-02 -0.120E-01 -0.225E-07  0.462E-05  0.115E-05
   93   0.550E-02 -0.113E-01 -0.225E-07  0.410E-05  0.102E-05
   94   0.517E-02 -0.107E-01 -0.225E-07  0.363E-05  0.903E-06
   95   0.487E-02 -0.101E-01 -0.225E-07  0.322E-05  0.801E-06
   96   0.458E-02 -0.951E-02 -0.225E-07  0.285E-05  0.711E-06
   97   0.431E-02 -0.897E-02 -0.225E-07  0.253E-05  0.631E-06
   98   0.406E-02 -0.846E-02 -0.225E-07  0.224E-05  0.560E-06
   99   0.381E-02 -0.798E-02 -0.225E-07  0.198E-05  0.497E-06
  100   0.359E-02 -0.753E-02 -0.225E-07  0.175E-05  0.441E-06
  101   0.337E-02 -0.710E-02 -0.225E-07  0.155E-05  0.391E-06
