  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    3   0.512E+00  0.120E+01  0.103E+01 -0.916E+00 -0.113E-01  0.110E-01  0.779E-02 -0.132E-01
    4   0.435E+00  0.169E+01  0.103E+01 -0.130E+01 -0.113E-01  0.940E-02  0.595E-02 -0.149E-01
    5   0.366E+00  0.212E+01  0.104E+01 -0.165E+01 -0.113E-01  0.806E-02  0.551E-02 -0.156E-01
    6   0.303E+00  0.250E+01  0.104E+01 -0.195E+01 -0.113E-01  0.691E-02  0.607E-02 -0.155E-01
    7   0.246E+00  0.283E+01  0.103E+01 -0.222E+01 -0.113E-01  0.594E-02  0.730E-02 -0.148E-01
    8   0.195E+00  0.311E+01  0.102E+01 -0.246E+01 -0.113E-01  0.511E-02  0.895E-02 -0.138E-01
    9   0.149E+00  0.335E+01  0.101E+01 -0.267E+01 -0.113E-01  0.440E-02  0.108E-01 -0.125E-01
   10   0.107E+00  0.355E+01  0.100E+01 -0.285E+01 -0.113E-01  0.379E-02  0.128E-01 -0.110E-01
   11   0.696E-01  0.372E+01  0.988E+00 -0.300E+01 -0.113E-01  0.328E-02  0.148E-01 -0.938E-02
   12   0.361E-01  0.385E+01  0.972E+00 -0.314E+01 -0.113E-01  0.284E-02  0.166E-01 -0.778E-02
   13   0.630E-02  0.396E+01  0.954E+00 -0.325E+01 -0.113E-01  0.247E-02  0.184E-01 -0.620E-02
   14  -0.202E-01  0.405E+01  0.935E+00 -0.334E+01 -0.113E-01  0.215E-02  0.199E-01 -0.467E-02
   15  -0.436E-01  0.411E+01  0.914E+00 -0.342E+01 -0.113E-01  0.189E-02  0.212E-01 -0.322E-02
   16  -0.641E-01  0.415E+01  0.893E+00 -0.348E+01 -0.113E-01  0.166E-02  0.223E-01 -0.186E-02
   17  -0.820E-01  0.418E+01  0.871E+00 -0.353E+01 -0.113E-01  0.146E-02  0.232E-01 -0.609E-03
   18  -0.974E-01  0.419E+01  0.848E+00 -0.356E+01 -0.113E-01  0.130E-02  0.239E-01  0.532E-03
   19  -0.110E+00  0.419E+01  0.824E+00 -0.358E+01 -0.113E-01  0.116E-02  0.244E-01  0.156E-02
   20  -0.121E+00  0.418E+01  0.801E+00 -0.359E+01 -0.113E-01  0.104E-02  0.247E-01  0.248E-02
   21  -0.130E+00  0.415E+01  0.776E+00 -0.359E+01 -0.107E-01  0.815E-03  0.239E-01  0.169E-02
   22  -0.141E+00  0.411E+01  0.753E+00 -0.360E+01 -0.107E-01  0.719E-03  0.240E-01  0.243E-02
   23  -0.150E+00  0.406E+01  0.729E+00 -0.361E+01 -0.107E-01  0.638E-03  0.239E-01  0.307E-02
   24  -0.157E+00  0.401E+01  0.705E+00 -0.360E+01 -0.107E-01  0.569E-03  0.237E-01  0.362E-02
   25  -0.163E+00  0.394E+01  0.681E+00 -0.359E+01 -0.107E-01  0.512E-03  0.234E-01  0.410E-02
   26  -0.168E+00  0.387E+01  0.657E+00 -0.357E+01 -0.107E-01  0.463E-03  0.229E-01  0.449E-02
   27  -0.171E+00  0.379E+01  0.633E+00 -0.355E+01 -0.107E-01  0.423E-03  0.224E-01  0.482E-02
   28  -0.173E+00  0.372E+01  0.609E+00 -0.352E+01 -0.107E-01  0.389E-03  0.218E-01  0.508E-02
   29  -0.175E+00  0.363E+01  0.585E+00 -0.348E+01 -0.107E-01  0.362E-03  0.211E-01  0.528E-02
