  
 Model:
  LAYER     H(km)       TA          TC          TF          TL          TN        Density     QA(inv)     QB(inv)
    4   0.242E+00  0.301E+01  0.103E+01 -0.232E+01 -0.974E-02  0.111E-02  0.970E-02  0.380E-02  0.170E-01  0.000E+00 -0.272E-01
    5   0.144E+00  0.356E+01  0.101E+01 -0.277E+01 -0.974E-02  0.258E-02  0.531E-02  0.316E-02  0.245E-01  0.000E+00 -0.223E-01
    6   0.642E-01  0.394E+01  0.988E+00 -0.312E+01 -0.974E-02  0.417E-02  0.161E-02  0.120E-02  0.323E-01  0.000E+00 -0.164E-01
    7   0.398E-04  0.419E+01  0.954E+00 -0.337E+01 -0.974E-02  0.564E-02 -0.138E-02 -0.126E-02  0.391E-01  0.000E+00 -0.105E-01
    8  -0.511E-01  0.433E+01  0.915E+00 -0.354E+01 -0.974E-02  0.687E-02 -0.371E-02 -0.372E-02  0.442E-01  0.000E+00 -0.516E-02
    9  -0.912E-01  0.438E+01  0.872E+00 -0.365E+01 -0.974E-02  0.782E-02 -0.546E-02 -0.591E-02  0.476E-01  0.000E+00 -0.583E-03
   10  -0.122E+00  0.436E+01  0.825E+00 -0.371E+01 -0.974E-02  0.849E-02 -0.671E-02 -0.770E-02  0.493E-01  0.000E+00  0.315E-02
   11  -0.145E+00  0.428E+01  0.777E+00 -0.373E+01 -0.974E-02  0.889E-02 -0.752E-02 -0.904E-02  0.495E-01  0.000E+00  0.606E-02
   12  -0.162E+00  0.417E+01  0.728E+00 -0.372E+01 -0.974E-02  0.905E-02 -0.798E-02 -0.994E-02  0.486E-01  0.000E+00  0.822E-02
   13  -0.173E+00  0.402E+01  0.678E+00 -0.367E+01 -0.974E-02  0.901E-02 -0.815E-02 -0.104E-01  0.467E-01  0.000E+00  0.972E-02
   14  -0.179E+00  0.385E+01  0.628E+00 -0.361E+01 -0.974E-02  0.879E-02 -0.809E-02 -0.105E-01  0.441E-01  0.000E+00  0.107E-01
   15  -0.181E+00  0.367E+01  0.579E+00 -0.352E+01 -0.974E-02  0.843E-02 -0.783E-02 -0.103E-01  0.410E-01  0.000E+00  0.112E-01
   16  -0.179E+00  0.349E+01  0.531E+00 -0.342E+01 -0.974E-02  0.795E-02 -0.741E-02 -0.981E-02  0.376E-01  0.000E+00  0.113E-01
   17  -0.174E+00  0.330E+01  0.484E+00 -0.331E+01 -0.974E-02  0.737E-02 -0.686E-02 -0.906E-02  0.341E-01  0.000E+00  0.112E-01
