


                  RAYLEIGH WAVE      MODE #  0

                         PERIOD          PHASE VEL
               265    0.2066599395     3.1709583920
               266    0.2066860098     3.1709583920
               267    0.2067120868     3.1709583920
               268    0.2067381703     3.1709583920
               269    0.2067642605     3.1709583920
               270    0.2067903572     3.1709583920
               271    0.2068164605     3.1709583920
               272    0.2068425704     3.1709583920
               273    0.2068686869     3.1709583920
               274    0.2068948100     3.1709583920
               275    0.2069209396     3.1709583920
               276    0.2069470759     3.1709583920
               277    0.2069732188     3.1709583920
               278    0.2069993683     3.1709583920
               279    0.2070255244     3.1709583920
               280    0.2070516871     3.1709583920
               281    0.2070778564     3.1709583920
               282    0.2071040324     3.1709583920
               283    0.2071302149     3.1709583920
               284    0.2071564041     3.1709583920
               285    0.2071825999     3.1709583920
               286    0.2072088023     3.1709583920
               287    0.2072350114     3.1709583920
               288    0.2072612271     3.1709583920
               289    0.2072874494     3.1709583920
               290    0.2073136783     3.1709583920
               291    0.2073399139     3.1709583920
               292    0.2073661562     3.1709583920
               293    0.2073924051     3.1709583920
               294    0.2074186606     3.1709583920
               295    0.2074449228     3.1709583920
               296    0.2074711916     3.1709583920
               297    0.2074974671     3.1709583920
               298    0.2075237492     3.1709583920
               299    0.2075500380     3.1709583920
               300    0.2075763335     3.1709583920
               301    0.2076026356     3.1709583920
               302    0.2076289444     3.1709583920
               303    0.2076552598     3.1709583920
               304    0.2076815819     3.1709583920
               305    0.2077079108     3.1709583920
               306    0.2077342462     3.1709583920
               307    0.2077605884     3.1709583920
               308    0.2077869372     3.1709583920
               309    0.2078132927     3.1709583920
               310    0.2078396550     3.1709583920
               311    0.2078660239     3.1709583920
               312    0.2078923994     3.1709583920
               313    0.2079187817     3.1709583920
               314    0.2079451707     3.1709583920
               315    0.2079715664     3.1709583920
               316    0.2079979688     3.1709583920
               317    0.2080243779     3.1709583920
               318    0.2080507937     3.1709583920
               319    0.2080772162     3.1709583920
               320    0.2081036454     3.1709583920
               321    0.2081300813     3.1709583920
               322    0.2081565239     3.1709583920
               323    0.2081829733     3.1709583920
               324    0.2082094294     3.1709583920
               325    0.2082358922     3.1709583920
               326    0.2082623618     3.1709583920
               327    0.2082888380     3.1709583920
               328    0.2083153210     3.1709583920
               329    0.2083418108     3.1709583920
               330    0.2083683073     3.1709583920
               331    0.2083948105     3.1709583920
               332    0.2084213204     3.1709583920
               333    0.2084478372     3.1709583920
               334    0.2084743606     3.1709583920
               335    0.2085008908     3.1709583920
               336    0.2085274278     3.1709583920
               337    0.2085539715     3.1709583920
               338    0.2085805220     3.1709583920
               339    0.2086070792     3.1709583920
               340    0.2086336432     3.1709583920
               341    0.2086602140     3.1709583920
               342    0.2086867915     3.1709583920
               343    0.2087133758     3.1709583920
               344    0.2087399669     3.1709583920
               345    0.2087665647     3.1709583920
               346    0.2087931694     3.1709583920
               347    0.2088197808     3.1709583920
               348    0.2088463990     3.1709583920
               349    0.2088730240     3.1709583920
               350    0.2088996557     3.1709583920
               351    0.2089262943     3.1709583920
               352    0.2089529397     3.1709583920
               353    0.2089795918     3.1709583920
               354    0.2090062508     3.1709583920
               355    0.2090329166     3.1709583920
               356    0.2090595891     3.1709583920
               357    0.2090862685     3.1709583920
               358    0.2091129547     3.1709583920
               359    0.2091396477     3.1709583920
               360    0.2091663475     3.1709583920
               361    0.2091930541     3.1709583920
               362    0.2092197676     3.1709583920
               363    0.2092464879     3.1709583920
               364    0.2092732150     3.1709583920
               365    0.2092999489     3.1709583920
               366    0.2093266897     3.1709583920
               367    0.2093534373     3.1709583920
               368    0.2093801917     3.1709583920
               369    0.2094069530     3.1709583920
               370    0.2094337211     3.1709583920
               371    0.2094604960     3.1709583920
               372    0.2094872778     3.1709583920
               373    0.2095140665     3.1709583920
               374    0.2095408620     3.1709583920
               375    0.2095676644     3.1709583920
